cp,asentamiento,municipio,zona,precio_envio
90122,San Diego Xocoyucan,Ixtacuixtla de Mariano Matamoros,Intermedia,100
90123,Santa Justina Ecatepec,Ixtacuixtla de Mariano Matamoros,Intermedia,100
90124,La Soledad,Ixtacuixtla de Mariano Matamoros,Intermedia,100
90125,San Antonio Atotonilco,Ixtacuixtla de Mariano Matamoros,Intermedia,100
90125,Fracción la Virgen,Ixtacuixtla de Mariano Matamoros,Intermedia,100
90125,Las Rositas,Ixtacuixtla de Mariano Matamoros,Intermedia,100
90125,Las Torres,Ixtacuixtla de Mariano Matamoros,Intermedia,100
90125,Miguel Ángel,Ixtacuixtla de Mariano Matamoros,Intermedia,100
90125,Agustín López,Ixtacuixtla de Mariano Matamoros,Intermedia,100
90125,Las Huertas,Ixtacuixtla de Mariano Matamoros,Intermedia,100
90125,La Virgen,Ixtacuixtla de Mariano Matamoros,Intermedia,100
90125,San Cristóbal,Ixtacuixtla de Mariano Matamoros,Intermedia,100
90125,Tláloc,Ixtacuixtla de Mariano Matamoros,Intermedia,100
90126,Santa Inés Tecuexcomac,Ixtacuixtla de Mariano Matamoros,Intermedia,100
90126,San Isidro,Ixtacuixtla de Mariano Matamoros,Intermedia,100
90127,San Antonio Tecóac,Ixtacuixtla de Mariano Matamoros,Intermedia,100
90127,San Antonio Tizostoc,Ixtacuixtla de Mariano Matamoros,Intermedia,100
90128,Arcos Altos,Ixtacuixtla de Mariano Matamoros,Intermedia,100
90128,San Gabriel Popocatla,Ixtacuixtla de Mariano Matamoros,Intermedia,100
90128,Las Moras (Las Moradillas),Ixtacuixtla de Mariano Matamoros,Intermedia,100
90130,Alpotzonga de Lira y Ortega,Ixtacuixtla de Mariano Matamoros,Intermedia,100
90130,San Carlos,Ixtacuixtla de Mariano Matamoros,Intermedia,100
90130,La Suiza,Ixtacuixtla de Mariano Matamoros,Intermedia,100
90130,Santo Domingo,Ixtacuixtla de Mariano Matamoros,Intermedia,100
90130,Alpotzonga,Ixtacuixtla de Mariano Matamoros,Intermedia,100
90131,La Caridad Cuaxonacayo,Ixtacuixtla de Mariano Matamoros,Intermedia,100
90132,Santa Rosa de Lima,Ixtacuixtla de Mariano Matamoros,Intermedia,100
90133,San Juan Nepopualco,Ixtacuixtla de Mariano Matamoros,Intermedia,100
90133,San Miguel la Presa,Ixtacuixtla de Mariano Matamoros,Intermedia,100
90133,San Cristóbal Oxtotlapango,Ixtacuixtla de Mariano Matamoros,Intermedia,100
90134,San Marcos Jilotepec,Ixtacuixtla de Mariano Matamoros,Intermedia,100
90134,Santiago Xochimilco,Ixtacuixtla de Mariano Matamoros,Intermedia,100
90135,Santa Ana Nopalucan Centro,Santa Ana Nopalucan,Intermedia,100
90137,De México,Santa Ana Nopalucan,Intermedia,100
90137,Guadalupe,Santa Ana Nopalucan,Intermedia,100
90138,Unidad Deportiva,Santa Ana Nopalucan,Intermedia,100
90138,Nuevo México,Santa Ana Nopalucan,Intermedia,100
90139,De Puebla,Santa Ana Nopalucan,Intermedia,100
90139,El Cerrito,Santa Ana Nopalucan,Intermedia,100
90139,San Ignacio,Santa Ana Nopalucan,Intermedia,100
90140,San Mateo Huexoyucan,Panotla,Intermedia,100
90140,San Nicolás Panotla,Panotla,Intermedia,100
90140,San Tadeo Huiloapan,Panotla,Intermedia,100
90140,Primero,Panotla,Intermedia,100
90140,Segundo,Panotla,Intermedia,100
90140,Tercero,Panotla,Intermedia,100
90140,Cuarto,Panotla,Intermedia,100
90140,Quinto,Panotla,Intermedia,100
90140,Santa Elena,Panotla,Intermedia,100
90140,Militar,Panotla,Intermedia,100
90140,Zona Militar,Panotla,Intermedia,100
90140,La Virgen,Panotla,Intermedia,100
90145,Santa Cruz Techachalco,Panotla,Intermedia,100
90147,San Jorge Tezoquipan,Panotla,Intermedia,100
90150,Emiliano Zapata,Panotla,Intermedia,100
90150,Las Ánimas,Panotla,Intermedia,100
90151,San Ambrosio Texantla,Panotla,Intermedia,100
90152,Jesús Acatitla,Panotla,Intermedia,100
90155,Santa Catalina Apatlahco,Panotla,Intermedia,100
90155,San Francisco Temetzontla,Panotla,Intermedia,100
90160,Acxotla del Río,Totolac,Intermedia,100
90160,Los Reyes Quiahuixtlán,Totolac,Intermedia,100
90160,San Juan Totolac,Totolac,Intermedia,100
90160,San Miguel Tlamahuco,Totolac,Intermedia,100
90160,Villa Riverena,Totolac,Intermedia,100
90160,Cerro del Metecatzi,Totolac,Intermedia,100
90163,Santiago Tepeticpac,Totolac,Intermedia,100
90163,Lomas del Sol,Totolac,Intermedia,100
90163,San Marcos I,Totolac,Intermedia,100
90163,San Marcos II,Totolac,Intermedia,100
90163,Tepectipac,Totolac,Intermedia,100
90163,San Marcos Tepeticpac,Totolac,Intermedia,100
90164,Zaragoza,Totolac,Intermedia,100
90164,Ejido Totolac,Totolac,Intermedia,100
90164,Eucaliptos,Totolac,Intermedia,100
90165,San Francisco Ocotelulco,Totolac,Intermedia,100
90166,La Trinidad Chimalpa,Totolac,Intermedia,100
90166,Chamizal,Totolac,Intermedia,100
90168,La Candelaria Teotlalpan,Totolac,Intermedia,100
90168,El Bosque,Totolac,Intermedia,100
90180,Antorcha Campesina,Tepeyanco,Intermedia,100
90180,San Cosme Atlamaxac,Tepeyanco,Intermedia,100
90180,Tepeyanco Centro,Tepeyanco,Intermedia,100
90180,Santiago Tlacochcalco,Tepeyanco,Intermedia,100
90180,San Pedro Xalcaltzinco,Tepeyanco,Intermedia,100
90180,Guerrero,Tepeyanco,Intermedia,100
90180,Las Águilas,Tepeyanco,Intermedia,100
90180,Gerardo Franco,Tepeyanco,Intermedia,100
90182,La Aurora,Tepeyanco,Intermedia,100
90193,Villas de Santa Isabel,Santa Isabel Xiloxoxtla,Intermedia,100
90193,Contla,Santa Isabel Xiloxoxtla,Intermedia,100
90193,Teotitla,Santa Isabel Xiloxoxtla,Intermedia,100
90193,Chimalpa,Santa Isabel Xiloxoxtla,Intermedia,100
